model,length_km,delay_s,fiber_loss_db_per_km,eta_i0_coupling,eta_i_transmission,idler_phase_coherence_time_s,Gamma_i_phase_drift_proxy,note
fiber_delay,0.0,0.0,0.2,0.95,0.95,1e-06,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,1e-05,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,0.0001,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.0,0.0,0.2,0.95,0.95,0.001,0.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,1e-06,0.1,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,1e-05,0.009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,0.0001,0.0009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.01,5e-08,0.2,0.95,0.9495626095529334,0.001,9.999999999999999e-05,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,1e-06,1.0,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,1e-05,0.09999999999999999,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,0.0001,0.009999999999999998,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
fiber_delay,0.1,5e-07,0.2,0.95,0.9456351464839506,0.001,0.001,"eta_i(L)=eta_i0*10^(-alpha L/10); Gamma_i is a phase-reference drift stress coordinate, not a calibrated fiber-noise model."
